Author,Date,cleaned_text,sentiment
1838722759297503236,2024-12-30 10:28:44+00:00,dsa kodk dow tsla shop amzn nvda roku ebay amd bb dal dow kodk aapl ese gmbl meta option alert 90 success rate,0.7096
126792470,2024-12-30 10:28:35+00:00,chatroom interms alertcallsanalysis cgm apt jakk boxl aapl ayro bngo,0.0
1838722759297503236,2024-12-30 10:28:13+00:00,alert update watchlist discord aal nakd dynt spy boxl aapl ayro achv abus tlry,-0.128
126792470,2024-12-30 10:28:05+00:00,alert update watchlist discord chatroom stock optionsforex aal nakd dynt ino byfc tsla spy boxl aapl ayro achv,-0.128
1562690423814234112,2024-12-30 10:28:05+00:00,aapl set ready run,0.3612
1838722759297503236,2024-12-30 10:27:29+00:00,alert given trading chat discord join free spy qqq amzn nvda ba tsla baba amd aapl nflx twtr aal,0.6124
126792470,2024-12-30 10:27:27+00:00,really amazing place lot thanks community tcehy rkt fb uber ayx ddog baba bngo aapl tsla,0.7902
1838722759297503236,2024-12-30 10:26:51+00:00,chatroom interms alertcallsanalysis cgm apt jakk boxl aapl ayro bngo,0.0
126792470,2024-12-30 10:26:44+00:00,option stock alert discord link solo w jagx ino byfc tsla spy boxl aapl ayro bngo dkng appl,-0.128
1838722759297503236,2024-12-30 10:26:25+00:00,free stock trading discord ge aal dis dal aapl msft tsla sq nflx spy roku spce ino uvxy vxx rad,0.1531
126792470,2024-12-30 10:26:07+00:00,discord better executive trading chat room tsla rock uavs cetx dgly tsla spy amaz aapl er fb bb fl de zm,0.0516
1076038709760442368,2024-12-30 10:26:00+00:00,quick excel nothing fancy nasdaq ytd return 32 index mean close 29 stdev pretty large thx aapl mstr pltr nvda,0.8271
1838722759297503236,2024-12-30 10:25:53+00:00,best stock trader group update chatroom analysis bidu save work aapl c msft spy amd,0.8126
126792470,2024-12-30 10:25:40+00:00,entry amp exit daily discord link abnb spy solo w jagx ino byfc tsla spy boxl aapl mu bngo,-0.4019
1838722759297503236,2024-12-30 10:25:14+00:00,top chatroom join free amp premium service spx spy amzn aapl amd fb shop bynd nvda googl msft tsla,0.743
126792470,2024-12-30 10:25:13+00:00,check discord group trading chatroomcommunity edsa kodk dow gnu idex bsbs tsla taop jfk cemi spy shop amzn nvda roku ebay amd aapl,-0.4019
126792470,2024-12-30 10:24:07+00:00,alert spike right big news drop free discord chatroom amzn aapl spy aapl msft bynd tsla mark riot nok,-0.4404
1809216681790906369,2024-12-30 10:23:59+00:00,good morning trader aapl abbv adbe amat amd amzn azo ba baba bynd dis fb fdx goog hd intc iwm jpm lmt low msft nflx nvda qqq rh roku snap spy tlt tsla uvxy v vxx xom,0.2023
1837978089072349185,2024-12-30 10:23:28+00:00,best stock trader group update chatroom analysis bidu save work aapl c msft spy amd,0.8126
1808914016896700416,2024-12-30 10:23:17+00:00,good morning trader aapl abbv adbe amat amd amzn azo ba baba bynd dis fb fdx goog hd intc iwm jpm lmt low msft nflx nvda qqq rh roku snap spy tlt tsla uvxy v vxx xom,0.2023
1157100233702170624,2024-12-30 10:22:33+00:00,good morning trader aapl abbv adbe amat amd amzn azo ba baba bynd dis fb fdx goog hd intc iwm jpm lmt low msft nflx nvda qqq rh roku snap spy tlt tsla uvxy v vxx xom,0.2023
1837978089072349185,2024-12-30 10:22:19+00:00,top chatroom join free amp premium service spx spy amzn aapl amd fb shop bynd nvda googl msft tsla,0.743
1270789996635660291,2024-12-30 10:22:05+00:00,good morning trader aapl abbv adbe amat amd amzn azo ba baba bynd dis fb fdx goog hd intc iwm jpm lmt low msft nflx nvda qqq rh roku snap spy tlt tsla uvxy v vxx xom,0.2023
1837978089072349185,2024-12-30 10:21:40+00:00,member profit stay patient let trade play spy riot mara roku pdt aapl,0.1779
262183335,2024-12-30 10:21:37+00:00,good morning trader aapl abbv adbe amat amd amzn azo ba baba bynd dis fb fdx goog hd intc iwm jpm lmt low msft nflx nvda qqq rh roku snap spy tlt tsla uvxy v vxx xom,0.2023
126792470,2024-12-30 10:21:14+00:00,check subscriber alert discord baba jfk cemi spy shop amzn nvda roku ebay amd tsla aapl,-0.128
1562690423814234112,2024-12-30 10:21:12+00:00,aapl set ready run,0.3612
Witty-Performance-23,2024-05-08 14:07:32,worried aapl long term,-0.296
PotatoTrader1,2024-12-13 04:05:07,aapl buyback machine,0.0
Airmang74,2024-10-01 04:54:10,msft aapl,0.0
sleeping_in_,2020-10-13 09:19:24,213000 apple aapl stock start diversify,0.0
msaleem,2023-09-07 13:15:44,china plan expand ban iphones aapl drop 3,-0.5267
Luka77GOATic,2024-03-21 11:32:28,u department justice doj preparing sue apple aaplo soon thursday allegedly violating antitrust law,-0.0258
paq12x,2022-12-22 19:41:41,aapl 52week low,-0.2732
Illustrious-Option-9,2023-06-05 11:59:58,aapl reach time high premarket trading,0.0258
amoottake,2022-08-17 19:45:51,sold aapl,0.0
rpatel09,2023-12-27 15:19:02,whats could next tsla aapl term returned last 10 year,0.0
gblack00,2020-08-07 15:58:10,buy aapl front 41 stock split stock split add 8 first year following split,0.0
shawndend,2023-12-10 21:33:37,sell hold aapl,0.0
leontes,2024-06-10 18:43:36,underestimating aapl,0.0
DippySwitch,2021-11-01 20:12:01,could put 3k aapl msft fb would choose,0.0
Kianna_hd,2022-06-09 02:02:21,apple aaplus continues increase financial service subsidiary provide loan future,0.3182
apooroldinvestor,2022-05-07 20:13:40,far think msft aapl could fall,0.0
srkdummy3,2024-06-09 21:38:59,decline smartphone sale aapl poised tackle,0.25
No_Cow1,2023-06-23 10:24:31,aapl stock continues climb 3t new trading high,0.0
novapants,2021-12-12 14:20:42,apple aapl short term outlook,0.0
the13thrabbit,2019-12-28 10:48:33,microsoft msft apple aapl bigger germany entire stock market,0.0
maximalsimplicity,2023-08-07 13:47:06,anyone think aapl buy,0.0
provoko,2023-06-05 20:27:12,aapl price dump vr headset reveal,-0.3818
designatedtruth,2023-11-07 22:30:25,voo aapl msft googl amzn intc next 5 year,0.0
8-tentacles,2021-10-31 17:02:20,aapl able grow much,0.0
apooroldinvestor,2022-11-03 20:10:25,msft googl aapl still beating market,-0.4588
cheechuu,2020-10-29 21:01:58,aapl price drop 5 beat earnings,-0.2732
ZloiAris,2020-06-22 19:06:10,moment aapl announced ending partnership intc intc stock price jumped 1,0.0
Lukee67,2024-12-12 09:40:06,come aapl isnt affected rise ai market,0.1139
just_lick_my_ass,2021-03-09 00:49:14,aapl due bounce,0.0
kriptonicx,2022-08-15 16:43:10,aapl nearing time high thought,0.0
DutyTop8086,2024-06-09 23:18:01,apple aapl rollercoaster jump,0.0
KCGuy59,2023-05-07 21:47:07,aapl go second quarter warren buffett continues love brkb,0.6369
Puginator,2024-05-02 20:32:20,apple announces largestever 110 billion share buyback iphone sale drop 10,0.0258
HopefulIvyAdmit,2021-10-23 19:47:06,buy aapl share,0.296
Migueli2021,2022-04-07 20:48:11,choose one dividend stock right would choose criterion bellow aapl msft etf,0.0
Kianna_hd,2022-05-23 02:18:21,apple aaplus plan increase production india vietnam,0.3182
PeekingPotato,2021-11-29 22:15:28,aapl good buy right,0.4404
kriptonicx,2022-03-24 20:38:58,aapl less 5 high,0.0
rockinoutwith2,2022-02-02 21:08:51,metafacebook stock crash 15 ah earnings release,-0.4019
Gothlander,2020-08-13 20:39:56,epic game sue apple see aapl come price tomorrow,0.0
zipiddydooda,2020-10-24 20:06:54,aapl receives 10b year goog make google homepage default page safari,0.0
Life-is-beautiful-,2022-10-08 10:22:36,thought aapl long term,0.0
themagicalpanda,2024-11-02 12:19:31,warren buffetts berkshire hathaway sold 14 billion worth apple quarter cash pile hit record 325 billion,0.2263
_DeanRiding,2023-03-28 09:45:06,apple aapl spend billion entertainment,0.4215
novapants,2021-02-25 21:17:22,apple aapl discussion,0.0
calipfarris01,2021-03-24 19:44:05,right,0.0
BUYMSFT,2023-05-19 16:29:57,aapl room grow,0.0
karnoculars,2021-12-29 20:22:17,red year sp500 30,0.0
a-wild-yasuo,2022-05-16 16:34:05,sold position goog pypl amzn aapl msft today 50000 left 120000,0.0
apooroldinvestor,2021-08-17 01:50:23,25 portfolio msft aapl googl trouble,-0.4019
arminoxx,2019-04-16 22:59:52,qcom v aapl settlement lost opportunity make 50000 stupid decision,-0.4404
greecher,2024-05-24 13:50:05,moving aapl,0.0
letak2018,2021-04-28 14:23:50,earnings day thought aapl,0.0
apooroldinvestor,2022-12-17 03:47:21,would buy aapl 130,0.0
gevham,2023-05-01 21:36:10,aapl earnings release bear case msft missed big time hardware part,-0.296
apooroldinvestor,2022-04-02 05:13:39,selling aapl share monday downside risk v upside,-0.2263
TonyLiberty,2023-07-29 23:19:20,intel intc earnings beat expectation good news apple aapl qualcomm qcom amd amd,0.4404
Le7emesens,2024-09-08 21:02:32,aapl monday morning arbitrage trade codename 7senshinos arbitrage,0.0
thelastsubject123,2024-06-24 22:50:08,nvidia slide third straight session loses 500b market cap,-0.1027
Beetlejuice_hero,2022-03-03 14:31:44,day 13 year ago barack obama almost perfectly call bottom stock market longest bull market u history,0.6003
guyastronomer,2021-09-11 05:43:45,good time buy aapl apple inc,0.4404
mill40,2020-09-18 16:59:38,bought lot aapl share im losing lot money,-0.1027
Euro347,2024-05-31 18:42:44,nvda overtakes msft aapl valuable company world,0.4767
bwang29,2022-10-28 00:25:02,aapl sucking blood intc amd meta goog msft nflx spot zero sum game etc,0.0
apooroldinvestor,2022-04-29 15:17:11,would investor accept 5 year return aapl,0.3818
LIBERAL_LAZY_LOSER,2022-05-15 15:49:25,friendly reminder everyone 2030 year old ride wave people retirement age consider going cash,0.4939
apooroldinvestor,2021-09-05 15:53:25,aapls revenue growth declining,0.3818
apooroldinvestor,2022-01-04 03:35:15,sell mega cap msft aapl buy back lower,-0.296
TheYoungLung,2024-06-17 01:56:07,whats one win big stock,0.5859
PleasantAnomaly,2022-10-26 06:55:40,bad news swarming aapl,-0.5423
AptitudeSky,2022-01-03 18:58:00,apple hit 3 trillion market cap becoming first company hit mark,0.0
Ubikinon44,2022-03-05 16:25:27,started investing buying stock like aaplgoogl voowhat low risk way invest next 10 year,-0.1779
apooroldinvestor,2021-04-07 04:07:25,msft aapl ever go bankrupt,-0.5574
apooroldinvestor,2021-09-04 20:16:43,aapl cash,0.0
AP9384629344432,2022-10-21 16:16:28,there index fund stock vti aapl welcome world small cap value stock,0.6597
AlligatorHalfMan123,2022-01-26 06:12:18,bad apple aapl heavily overvalued,-0.5423
Rico_Stonks,2022-06-16 20:56:29,aapl get back ath 4 year,0.0
durustakta,2024-10-26 11:55:44,whats stock youll never sell,0.0
Jones131212,2023-12-14 11:35:56,apple stock close alltimehigh added 1 trillion market cap 2023,0.0
Euro347,2024-07-08 22:14:54,msft aapl overvalued overbought wallstreet expecting much ai,0.0
chrisdh79,2021-03-31 14:57:24,ubs upgrade aapl buy raise price target iphone stability auto opportunity,0.4215
wsb_shitposting,2021-04-01 13:55:07,tried predict stock market every day march here went learned,0.0
safari-dog,2023-06-11 22:55:34,would like opinion selling aaplmsft share,0.5719
MainlineX,2021-04-07 05:15:25,youth broad stroke ive learned 20 year investing,0.0
Rmogo21,2020-11-07 15:42:28,true market leader tml find ex shop 20162020 zm 2020 aapl 20052012,0.4215
apooroldinvestor,2021-12-21 05:08:00,dan ives aapl 230 tsla 1800,0.0
Oscuridad_mi_amigo,2021-11-11 21:50:25,nine u governor press u lawmaker pas 52 billion semiconductor funding bill taiwan unreliable potentially trillion risk,-0.2732
UltimateTraders,2021-09-11 01:20:06,apple come car buying apple car tesla tsla 3000 higher aapl honest curious cathie say,0.6808
ImCoolOnTheInternet,2022-01-04 15:56:25,1 share amzn 18 share aapl,0.5267
punkzlol,2020-08-11 21:43:23,aapl gain close 1 trillion market cap since 2019,0.5267
apooroldinvestor,2022-01-05 04:59:59,aapl msft googl etc return 17 next 10 year,0.0
WallabyUpstairs1496,2021-11-06 00:11:21,first time 2 decade goog higher pe ration aapl msft america valuable brand aapl,0.4767
Kogorashi,2021-02-25 16:13:40,deal market bloodbath,0.0
senttoschool,2022-02-22 02:27:46,6 reason aapl isnt pandemic stock,0.0
big--if-true,2022-10-16 21:30:36,u sanction chinese semiconductor decapitate industry expert say,0.0
MrDegi,2021-07-24 10:28:39,anyone else feel incredibly bored weekend stock price look,-0.3384
aquaBluu,2022-10-28 18:30:59,apple today good example market hard,0.3612
PeekingPotato,2021-05-24 19:23:28,apple stock analysis aapl good buy,0.4404
Steven_on_the_run,2024-03-23 20:13:09,apple going war u lawsuit add iphone maker antitrust woe,-0.8225
anaccountwascreated,2020-11-23 18:47:25,disney aapl steal right,-0.4939
