platform,created_at,text,cleaned_text
Twitter,2024-12-27 05:59:17+00:00,"Benchmark Indices Creating All-Time Highs!

 Sign up now - https://t.co/PK0NHta9sE

#stockmarket #nifty50 #banknifty #niftyit #investsmart #tradabulls #marketanalysis #marketmoments https://t.co/XCdlg8v0yu",benchmark indices creating alltime highs sign stockmarket nifty banknifty niftyit investsmart tradabulls marketanalysis marketmoments
Twitter,2024-12-27 05:59:15+00:00,"RT @pardeep5889: 🚀🔥Next Multi-bagger 2x GEM stock🔥🚀
 
✍️CMP Near 250 &gt;&gt;My target&gt;500++🎯

6 months +holding period✍️

DO&gt; #Repost  +Comment…",rt next multibagger x gem stock cmp near gtgtmy targetgt months holding period dogt repost comment
Twitter,2024-12-27 05:59:11+00:00,"Top 10 selling cars of 2024.

#StockMarketIndia #StockMarket https://t.co/5FErrvJzit https://t.co/b8J7WmnGA3",top selling cars stockmarketindia stockmarket
Twitter,2024-12-27 05:59:03+00:00,"Lemon Tree Hotels rises on signing new property in Maharashtra

https://t.co/ognirzvPSF
 
#Hotelsector #StockMarket @LemonTreeHotels #Maharashtra #Investmentguruindia https://t.co/QlEKjWJ50G",lemon tree hotels rises signing new property maharashtra hotelsector stockmarket maharashtra investmentguruindia
Twitter,2024-12-27 05:58:57+00:00,"Video Link:

https://t.co/P6wT2CxTpW

#StockMarketIndia #StockMarketUpdate  #StockMarket #niftyoptions #niftyfuture #like #SubscribeNow #BestFriend https://t.co/UhBamJh4eV",video link stockmarketindia stockmarketupdate stockmarket niftyoptions niftyfuture like subscribenow bestfriend
Twitter,2024-12-27 05:58:02+00:00,"Bears really got fearful by this tweet. Awesome!!!
#nifty #niftytoday #niftyOptions #StockMarketIndia #StockMarketUpdate #StockMarket #StocksToBuy https://t.co/PvpAD4Oj85",bears really got fearful tweet awesome nifty niftytoday niftyoptions stockmarketindia stockmarketupdate stockmarket stockstobuy
Twitter,2024-12-27 05:57:52+00:00,"Mazagon Dock shares undergo a 2:1 split, adjusting prices while maintaining impressive YTD performance. Analysts show confidence in the defense sector's future potential despite market corrections.

Stay updated on this #StockMarket move! 🚢📊

#MazagonDock #ShareSplit #intraday https://t.co/wM5VI12udV",mazagon dock shares undergo split adjusting prices maintaining impressive ytd performance analysts show confidence defense sectors future potential despite market corrections stay updated stockmarket move mazagondock sharesplit intraday
Twitter,2024-12-27 05:57:31+00:00,"Choosing the right broker is key to smart investing! 

Compare charges, features, and services with a comprehensive Stock Broker Comparison.

Get more details: https://t.co/OvrbYicvct

#StockBrokerComparison #SmartInvesting #Trading #StockMarket https://t.co/vTmDh87Io3",choosing right broker key smart investing compare charges features services comprehensive stock broker comparison get details stockbrokercomparison smartinvesting trading stockmarket
Twitter,2024-12-27 05:57:26+00:00,"Keep an eye on: #DCXINDIA
• Call Shared at: 340
• High Made: 353
• CMP: 349
• Points Gained: 13
• Returns: 4%
• Enter if Weekly Close Above Trendline

#DCXINDIA #StockMarket #IndianStocks #StockAnalysis #nifty #Breakout #Uptrend #Breakoutstocks https://t.co/EOl6Fvf5vZ https://t.co/1Fxkp5DLvc",keep eye dcxindia call shared high made cmp points gained returns enter weekly close trendline dcxindia stockmarket indianstocks stockanalysis nifty breakout uptrend breakoutstocks
Twitter,2024-12-27 05:56:40+00:00,"Aaj to sach me hi khushiyan di barsaat😂
#memes #mamatamachineryipo #stockmarket #ipoallotment https://t.co/rzMPOYHDxQ",aaj sach hi khushiyan di barsaat memes mamatamachineryipo stockmarket ipoallotment
Twitter,2024-12-27 05:56:16+00:00,"#Nifty

Wave 4 Correction Near It's End                 

Limited Downside Risk 23300

Strongest Wave 5 Rally is Inevitable     

आएगा तो तेजी ही

Keep on radar               

https://t.co/KEHyI6f4YN                 

Like &amp; Share

#Elliottwave #StockMarket #Trendonomics https://t.co/fYwn53vvS0",nifty wave correction near end limited downside risk strongest wave rally inevitable keep radar like amp share elliottwave stockmarket trendonomics
Twitter,2024-12-27 05:56:14+00:00,"ZAGGLE PREPAID OCEAN: Co Has Entered Into An Agreement With Mahindra First Choice Wheels Limited
#Stocks #StockMarket #TRading #IndustryNews #Industry",zaggle prepaid ocean co entered agreement mahindra first choice wheels limited stocks stockmarket trading industrynews industry
Twitter,2024-12-27 05:55:43+00:00,"RT @GhanshyamRaj: Understand  Inventory Turnover Ratio in just few seconds 
#investing #Nifty #StockMarket

https://t.co/q6oCSxLZsA",rt understand inventory turnover ratio seconds investing nifty stockmarket
Twitter,2024-12-27 05:54:43+00:00,"#VolumeMovers -#Nifty50 

Check #trending #chartpatterns and #Updates on https://t.co/5ErPu4pSu6 and ""follow"" @MySoctr

#Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets #Breakout #nse… https://t.co/QzZbb7uxMZ https://t.co/LyNYD3zobb",volumemovers nifty check trending chartpatterns updates follow nifty nifty investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade stockmarket trading stockmarkets breakout nse
Twitter,2024-12-27 05:54:11+00:00,"@sakigake The Nikkei 225 index surged 2% in late trading 📈, with DENA leading gains, soaring 14% 🚀. Meanwhile, Nissan Motors bucked the trend, plunging 8% 📉.

#Nikkei225 #StockMarket #DENA #Nissan",nikkei index surged late trading dena leading gains soaring meanwhile nissan motors bucked trend plunging nikkei stockmarket dena nissan
Twitter,2024-12-27 05:53:47+00:00,"NMDC Borad has fixed 27 December 2024 as the record date for finalizing the eligible shareholders to issue bonus shares in a 2:1 ratio.

🔗  Join Whatsapp Group: https://t.co/Nwl6nEkyyq

#StockMarket #StockMarketIndia #Stocks https://t.co/tZotKxYpRp",nmdc borad fixed december record date finalizing eligible shareholders issue bonus shares ratio join whatsapp group stockmarket stockmarketindia stocks
Twitter,2024-12-27 05:53:43+00:00,"@OpenSoliloquy The Nikkei 225 index surged 2% in late trading 📈, with DENA leading gains, soaring 14% 🚀. Meanwhile, Nissan Motors bucked the trend, plunging 8% 📉.

#Nikkei225 #StockMarket #DENA #Nissan",nikkei index surged late trading dena leading gains soaring meanwhile nissan motors bucked trend plunging nikkei stockmarket dena nissan
Twitter,2024-12-27 05:53:35+00:00,"@ex_Lhasa The Nikkei 225 index surged 2% in late trading 📈, with DENA leading gains, soaring 14% 🚀. Meanwhile, Nissan Motors bucked the trend, plunging 8% 📉.

#Nikkei225 #StockMarket #DENA #Nissan",nikkei index surged late trading dena leading gains soaring meanwhile nissan motors bucked trend plunging nikkei stockmarket dena nissan
Twitter,2024-12-27 05:53:12+00:00,"@Barchart The Nikkei 225 index surged 2% in late trading 📈, with DENA leading gains, soaring 14% 🚀. Meanwhile, Nissan Motors bucked the trend, plunging 8% 📉.

#Nikkei225 #StockMarket #DENA #Nissan",nikkei index surged late trading dena leading gains soaring meanwhile nissan motors bucked trend plunging nikkei stockmarket dena nissan
Twitter,2024-12-27 05:52:58+00:00,"@o6dGNX6GYD2m5Dh The Nikkei 225 index surged 2% in late trading 📈, with DENA leading gains, soaring 14% 🚀. Meanwhile, Nissan Motors bucked the trend, plunging 8% 📉.

#Nikkei225 #StockMarket #DENA #Nissan",nikkei index surged late trading dena leading gains soaring meanwhile nissan motors bucked trend plunging nikkei stockmarket dena nissan
Twitter,2024-12-27 05:52:49+00:00,"Dixon Technologies inches up as its arm enters into MoU with Cellecor Gadgets

https://t.co/SdRGne888I

#ManufacturingSector #StockMarket #MemorandumOfUnderstanding #Gadget @DixonTech_India #Investmentguruindia https://t.co/w6XxYZ7Cdy",dixon technologies inches arm enters mou cellecor gadgets manufacturingsector stockmarket memorandumofunderstanding gadget investmentguruindia
Twitter,2024-12-27 05:52:44+00:00,"@OpenAI The Nikkei 225 index surged 2% in late trading 📈, with DENA leading gains, soaring 14% 🚀. Meanwhile, Nissan Motors bucked the trend, plunging 8% 📉.

#Nikkei225 #StockMarket #DENA #Nissan",nikkei index surged late trading dena leading gains soaring meanwhile nissan motors bucked trend plunging nikkei stockmarket dena nissan
